Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes,etp_mes
PORTO VELHO,RO,-8.793610572814941,-63.84583282470703,86.7,A925,2010.0,1.0,27.06759154012903,167.28531902499986,101.90157408199998
SANTA MARIA,RS,-29.725000381469727,-53.720556,105.0,A803,2010.0,1.0,25.05837069574194,410.2347933899999,145.712597394
URUGUAIANA,RS,-29.84000015258789,-57.08194351196289,74.29,A809,2010.0,1.0,25.58114300077419,207.3385759699997,156.40944771199995
RIO NEGRINHO,SC,-26.248611450195312,-49.574167,856.0,A862,2010.0,1.0,22.235152162580654,335.12034495499984,102.15747959199999
CAMPOS DO JORDAO,SP,-22.75027847290039,-45.603889,1662.95,A706,2010.0,1.0,21.377601600516126,198.29517816499978,107.58267640399997
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010.0,1.0,23.71967114425806,463.60251377,107.88976301599997
PALMAS,TO,-10.147777557373047,-48.314444,267.0,A009,2010.0,1.0,27.667408326709673,336.9606111749999,124.06299124799999
BARREIRAS,BA,-12.12472152709961,-45.026944,474.17,A402,2010.0,2.0,26.564838396000003,62.376447319999784,136.090550218
FEIRA DE SANTANA,BA,-12.196110725402832,-38.967498779296875,229.64,A413,2010.0,2.0,28.39610184571428,11.556259654999764,144.433069844
MORADA NOVA,CE,-5.091111183166504,-38.364722,93.0,A332,2010.0,2.0,29.096654341142855,13.705525799999663,157.074802038
CAMPOS SALES,CE,-7.077777862548828,-40.36277770996094,577.95,A347,2010.0,2.0,26.804103548,43.82271848999966,147.70866037199994
POSSE,GO,-14.089166641235352,-46.366389,830.0,A017,2010.0,2.0,25.841091829714294,86.9797080149998,142.43700686599996
GOIANIA,GO,-16.642778396606445,-49.220278,727.3,A002,2010.0,2.0,26.69240578571428,131.3246305849998,131.74015654800004
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010.0,2.0,26.510210255428568,61.56618084999977,148.93700682000002
CORUMBA,MS,-18.996667,-57.63750076293945,111.73,A724,2010.0,2.0,29.480729843428566,70.90484524999988,131.99606205799998
CUIABA,MT,-15.60694408416748,-56.06083297729492,184.0,A901,2010.0,2.0,28.27906334342858,356.95637581999995,114.38976296999999
BELEM,PA,-1.4111109972000122,-48.439444,21.17,A201,2010.0,2.0,27.974030793142862,266.5773310899999,107.01968428200001
ITAITUBA,PA,-4.276944160461426,-55.993056,24.46,A231,2010.0,2.0,28.34391518628572,288.35839246999996,108.60629844400002
CABROBO,PE,-8.503889083862305,-39.315278,342.74,A329,2010.0,2.0,29.22788395257143,66.5239129799997,164.751967338
PALMARES,PE,-8.666666984558105,-35.568056,164.01,A357,2010.0,2.0,27.31620421771429,92.349440045,122.78346369799999
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010.0,2.0,27.227700526285712,309.184987415,113.67322754199996
MAL. CANDIDO RONDON,PR,-24.53333282470703,-54.019167,392.07,A820,2010.0,2.0,27.096928692571435,181.8564183199998,134.14566834200002
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010.0,2.0,25.36149337771429,199.78528063499982,113.673227542
PICO DO COUTO,RJ,-22.4647216796875,-43.291389,1777.0,A610,2010.0,2.0,22.01605384171429,183.5318845799998,112.49606219599998
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010.0,2.0,29.829861646857143,105.3274368949998,139.775589562
PORTO VELHO,RO,-8.793610572814941,-63.84583282470703,86.7,A925,2010.0,2.0,27.68486787028571,192.81561565999988,93.610235558
SANTA MARIA,RS,-29.725000381469727,-53.720556,105.0,A803,2010.0,2.0,26.55278358285714,151.43022570499983,127.23621957200001
URUGUAIANA,RS,-29.84000015258789,-57.08194351196289,74.29,A809,2010.0,2.0,25.769983691428575,249.9050684699998,119.30314876199998
RIO NEGRINHO,SC,-26.248611450195312,-49.574167,856.0,A862,2010.0,2.0,23.07290999142857,162.45122302999988,101.54330636799997
