Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,9,16.43021823035349,73.84602225513248
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,9,18.1710005654229,149.05513323039798
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,9,30.027405187818772,3.189901478002355
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,9,28.323783768547912,64.67818713874607
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,10,25.311107130973596,151.46815517605816
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,10,28.33363632284187,152.57267394722973
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,10,26.25503879259992,158.84203949631726
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,10,28.322728749757175,47.08835223378216
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,10,28.785979022774654,77.49125102223431
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,10,27.614705186249125,65.38317838372265
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,10,28.25346631696152,42.00695195855175
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,10,26.833415808728944,55.45112231434857
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,10,24.31851535509992,69.81377044381176
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,10,28.493477552680588,62.837493807688105
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,10,25.74564331628943,59.56577995480572
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,10,25.65548454612815,48.029226452722895
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,10,19.244703506141605,137.15310135544811
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,10,21.575710940617398,92.83615389527355
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,10,17.785516993204794,136.11571231545483
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,10,16.730107572001828,136.2545315331367
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,10,26.19040978134319,149.82245603264843
