Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes,etp_mes
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,4,26.050018,7.0,142.2
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,4,19.450012,85.0,98.509995
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,4,19.550018,75.0,109.96
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,4,22.150024,169.0,119.1
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,4,19.850006,229.0,109.74
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,4,17.450012,219.0,80.31
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,4,21.950012,257.0,80.4
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,4,26.550018,49.0,128.67
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,4,27.150024,54.0,138.37
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,5,23.950012,1.0,120.77
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,5,29.050018,43.0,149.7
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,5,24.25,64.0,130.0
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,5,27.75,317.0,133.58
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,5,27.150024,134.0,115.759995
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,5,27.150024,22.0,150.79
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,5,28.850006,34.0,159.31
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,5,27.150024,6.0,154.9
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,5,25.350006,71.0,124.49
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,5,26.650024,11.0,127.399994
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,5,25.550018,35.0,118.64
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,5,23.650024,47.0,108.38
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,5,13.450012,75.0,85.549995
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,5,22.550018,45.0,83.11
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,5,18.150024,68.0,75.25
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,5,13.050018,52.0,78.299995
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,5,21.650024,57.0,103.96
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,5,15.850006,106.0,66.03
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,5,15.75,163.0,69.47
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,5,17.450012,121.0,81.14
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,5,16.25,96.0,73.43
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,5,14.75,96.0,58.649998
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,5,19.75,99.0,61.62
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,5,24.150024,19.0,113.54
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,5,26.150024,141.0,129.87
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,6,22.950012,8.0,102.13
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,6,27.75,1.0,145.44
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,6,22.450012,0.0,122.42
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,6,27.350006,159.0,134.3
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,6,26.950012,85.0,121.46
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,6,24.850006,40.0,112.0
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,6,28.050018,60.0,148.47
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,6,24.550018,48.0,142.51
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,6,24.050018,386.0,105.82
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,6,24.75,0.0,120.67
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,6,23.450012,47.0,99.409996
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,6,20.850006,1.0,90.9
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,6,11.650024,21.0,79.29
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,6,19.950012,29.0,66.799995
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,6,16.350006,15.0,62.34
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,6,11.150024,17.0,67.45
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,6,23.450012,4.0,104.47
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,6,14.150024,132.0,60.079998
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,6,14.25,10.0,62.77
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,6,18.150024,30.0,86.29
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,6,15.950012,44.0,77.35
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,6,13.550018,105.0,52.02
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,6,17.450012,96.0,51.539997
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,6,24.850006,5.0,98.299995
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,6,26.950012,11.0,127.82
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,7,23.850006,0.0,113.38
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,7,27.25,0.0,166.34
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,7,22.350006,1.0,134.98
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,7,27.25,110.0,142.20999
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,7,26.850006,96.0,123.259995
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,7,24.75,15.0,127.67
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,7,28.25,7.0,157.28
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,7,24.75,2.0,162.62999
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,7,23.050018,145.0,112.35
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,7,24.450012,2.0,125.38
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,7,22.450012,207.0,102.049995
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,7,21.650024,1.0,98.64
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,7,12.950012,44.0,86.11
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,7,21.550018,46.0,77.27
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,7,18.150024,80.0,72.49
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,7,12.75,75.0,75.939995
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,7,21.150024,4.0,102.02
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,7,13.150024,208.0,64.65
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,7,12.950012,147.0,69.6
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,7,17.450012,120.0,87.689995
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,7,16.25,52.0,80.35
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,7,14.050018,169.0,59.379997
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,7,17.75,129.0,53.03
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,7,22.850006,2.0,99.729996
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,7,26.25,1.0,136.62999
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,8,24.650024,0.0,134.16
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,8,27.550018,0.0,176.43
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,8,22.850006,0.0,156.62
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,8,27.75,183.0,161.42
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,8,28.050018,4.0,149.36
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,8,24.850006,3.0,153.55
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,8,28.25,0.0,180.86
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,8,25.050018,0.0,184.14
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,8,22.550018,160.0,122.28
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,8,24.550018,0.0,147.65
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,8,22.050018,55.0,112.96
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,8,22.150024,0.0,126.119995
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,8,12.25,17.0,103.77
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,8,21.050018,21.0,98.189995
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,8,17.050018,2.0,85.5
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,8,12.350006,6.0,94.689995
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,8,23.550018,0.0,135.04
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,8,13.550018,82.0,80.0
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,8,14.050018,22.0,88.99
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,8,18.550018,6.0,120.13
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,8,16.550018,13.0,105.84
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,8,13.550018,51.0,75.2
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,8,16.850006,55.0,69.26
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,8,25.350006,0.0,123.21
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,8,27.550018,13.0,160.09
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,9,28.150024,13.0,160.42
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,9,30.050018,3.0,198.01999
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,9,25.550018,21.0,180.45
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,9,28.25,81.0,171.76
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,9,29.25,53.0,165.67
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,9,26.150024,6.0,179.55
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,9,28.450012,0.0,193.14
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,9,26.350006,0.0,195.22
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,9,23.150024,90.0,136.9
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,9,26.850006,0.0,167.56999
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,9,23.550018,23.0,134.34999
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,9,24.650024,2.0,149.78
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,9,14.75,44.0,114.72
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,9,22.550018,48.0,107.47
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,9,19.650024,82.0,98.64
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,9,14.75,142.0,102.24
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,9,27.450012,29.0,157.06
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,9,16.550018,216.0,95.439995
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,9,17.050018,120.0,102.049995
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,9,20.950012,224.0,131.2
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,9,19.350006,258.0,123.56
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,9,16.350006,42.0,96.299995
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,9,19.050018,71.0,84.54
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,9,29.450012,14.0,147.45
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,9,28.25,40.0,160.54
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,10,26.450012,88.0,157.81
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,10,28.850006,108.0,161.47
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,10,26.25,160.0,166.44
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,10,28.350006,109.0,179.05
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,10,29.050018,183.0,158.98999
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,10,28.550018,30.0,199.26
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,10,28.550018,14.0,186.44
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,10,27.75,75.0,187.39
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,10,25.050018,65.0,155.06
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,10,28.850006,101.0,167.69
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,10,26.550018,44.0,166.09
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,10,26.550018,76.0,155.06
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,10,14.650024,130.0,113.619995
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,10,22.650024,82.0,129.37999
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,10,18.75,67.0,119.39
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,10,14.75,173.0,110.5
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,10,26.550018,61.0,167.43
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,10,18.050018,51.0,135.28
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,10,19.150024,30.0,158.19
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,10,20.850006,200.0,144.41
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,10,19.150024,152.0,132.9
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,10,15.950012,159.0,104.14
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,10,19.450012,170.0,96.96
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,10,28.650024,107.0,159.79
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,10,27.350006,252.0,155.33
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,11,24.350006,235.0,141.12999
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,11,26.950012,128.0,149.45999
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,11,23.350006,229.0,139.95
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,11,28.25,113.0,162.66
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,11,27.650024,133.0,132.56
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,11,30.050018,2.0,206.22
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,11,29.150024,1.0,192.95
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,11,28.25,11.0,185.05
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,11,25.650024,5.0,162.15
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,11,26.75,129.0,158.16
