Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,4,19.450000000000003,129.0
PICO DO COUTO,RJ,-22.4647216796875,-43.291389,1777.0,A610,2010,4,16.8,193.0
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,4,24.550000000000004,209.0
PORTO VELHO,RO,-8.793610572814941,-63.84583282470703,86.7,A925,2010,4,26.85,18.0
SANTA MARIA,RS,-29.725000381469727,-53.720556,105.0,A803,2010,4,19.8,116.0
URUGUAIANA,RS,-29.84000015258789,-57.08194351196289,74.29,A809,2010,4,19.65,74.0
RIO NEGRINHO,SC,-26.248611450195312,-49.574167,856.0,A862,2010,4,16.85,164.0
CAMPOS DO JORDAO,SP,-22.75027847290039,-45.603889,1662.95,A706,2010,4,14.400000000000002,162.0
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,4,19.35,118.0
PALMAS,TO,-10.147777557373047,-48.314444,267.0,A009,2010,4,26.750000000000004,154.0
BARREIRAS,BA,-12.12472152709961,-45.026944,474.17,A402,2010,5,24.85,16.0
FEIRA DE SANTANA,BA,-12.196110725402832,-38.967498779296875,229.64,A413,2010,5,23.75,82.0
MORADA NOVA,CE,-5.091111183166504,-38.364722,93.0,A332,2010,5,27.65,57.0
CAMPOS SALES,CE,-7.077777862548828,-40.36277770996094,577.95,A347,2010,5,26.0,17.0
POSSE,GO,-14.089166641235352,-46.366389,830.0,A017,2010,5,24.75,17.0
GOIANIA,GO,-16.642778396606445,-49.220278,727.3,A002,2010,5,23.3,5.0
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,5,22.05,62.0
CORUMBA,MS,-18.996667,-57.63750076293945,111.73,A724,2010,5,22.150000000000002,57.0
CUIABA,MT,-15.60694408416748,-56.06083297729492,184.0,A901,2010,5,23.200000000000003,30.0
BELEM,PA,-1.4111109972000122,-48.439444,21.17,A201,2010,5,27.450000000000003,398.0
ITAITUBA,PA,-4.276944160461426,-55.993056,24.46,A231,2010,5,28.1,213.0
CABROBO,PE,-8.503889083862305,-39.315278,342.74,A329,2010,5,26.200000000000003,14.0
PALMARES,PE,-8.666666984558105,-35.568056,164.01,A357,2010,5,23.950000000000003,83.0
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,5,19.25,94.0
MAL. CANDIDO RONDON,PR,-24.53333282470703,-54.019167,392.07,A820,2010,5,15.8,200.0
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,5,15.55,88.0
PICO DO COUTO,RJ,-22.4647216796875,-43.291389,1777.0,A610,2010,5,14.600000000000001,82.0
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,5,22.25,89.0
PORTO VELHO,RO,-8.793610572814941,-63.84583282470703,86.7,A925,2010,5,26.0,312.0
SANTA MARIA,RS,-29.725000381469727,-53.720556,105.0,A803,2010,5,16.950000000000003,132.0
URUGUAIANA,RS,-29.84000015258789,-57.08194351196289,74.29,A809,2010,5,15.8,143.0
RIO NEGRINHO,SC,-26.248611450195312,-49.574167,856.0,A862,2010,5,13.9,92.0
CAMPOS DO JORDAO,SP,-22.75027847290039,-45.603889,1662.95,A706,2010,5,11.5,61.0
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,5,17.3,54.0
PALMAS,TO,-10.147777557373047,-48.314444,267.0,A009,2010,5,26.35,39.0
BARREIRAS,BA,-12.12472152709961,-45.026944,474.17,A402,2010,6,22.55,0.0
FEIRA DE SANTANA,BA,-12.196110725402832,-38.967498779296875,229.64,A413,2010,6,22.3,46.0
MORADA NOVA,CE,-5.091111183166504,-38.364722,93.0,A332,2010,6,27.25,84.0
CAMPOS SALES,CE,-7.077777862548828,-40.36277770996094,577.95,A347,2010,6,24.300000000000004,19.0
POSSE,GO,-14.089166641235352,-46.366389,830.0,A017,2010,6,22.35,0.0
GOIANIA,GO,-16.642778396606445,-49.220278,727.3,A002,2010,6,21.950000000000003,11.0
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,6,19.200000000000003,0.0
CORUMBA,MS,-18.996667,-57.63750076293945,111.73,A724,2010,6,23.35,1.0
CUIABA,MT,-15.60694408416748,-56.06083297729492,184.0,A901,2010,6,24.25,4.0
BELEM,PA,-1.4111109972000122,-48.439444,21.17,A201,2010,6,27.25,146.0
ITAITUBA,PA,-4.276944160461426,-55.993056,24.46,A231,2010,6,27.35,96.0
CABROBO,PE,-8.503889083862305,-39.315278,342.74,A329,2010,6,23.5,29.0
PALMARES,PE,-8.666666984558105,-35.568056,164.01,A357,2010,6,22.700000000000003,403.0
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,6,18.65,71.0
MAL. CANDIDO RONDON,PR,-24.53333282470703,-54.019167,392.07,A820,2010,6,17.1,39.0
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,6,16.150000000000002,42.0
PICO DO COUTO,RJ,-22.4647216796875,-43.291389,1777.0,A610,2010,6,12.700000000000001,15.0
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,6,20.4,16.0
PORTO VELHO,RO,-8.793610572814941,-63.84583282470703,86.7,A925,2010,6,26.6,34.0
SANTA MARIA,RS,-29.725000381469727,-53.720556,105.0,A803,2010,6,15.55,97.0
URUGUAIANA,RS,-29.84000015258789,-57.08194351196289,74.29,A809,2010,6,14.3,20.0
RIO NEGRINHO,SC,-26.248611450195312,-49.574167,856.0,A862,2010,6,13.600000000000001,94.0
CAMPOS DO JORDAO,SP,-22.75027847290039,-45.603889,1662.95,A706,2010,6,9.15,9.0
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,6,15.950000000000001,13.0
PALMAS,TO,-10.147777557373047,-48.314444,267.0,A009,2010,6,24.75,1.0
BARREIRAS,BA,-12.12472152709961,-45.026944,474.17,A402,2010,7,22.1,0.0
FEIRA DE SANTANA,BA,-12.196110725402832,-38.967498779296875,229.64,A413,2010,7,20.9,111.0
MORADA NOVA,CE,-5.091111183166504,-38.364722,93.0,A332,2010,7,27.9,8.0
CAMPOS SALES,CE,-7.077777862548828,-40.36277770996094,577.95,A347,2010,7,24.400000000000002,4.0
POSSE,GO,-14.089166641235352,-46.366389,830.0,A017,2010,7,22.4,0.0
GOIANIA,GO,-16.642778396606445,-49.220278,727.3,A002,2010,7,22.650000000000002,0.0
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,7,20.0,0.0
CORUMBA,MS,-18.996667,-57.63750076293945,111.73,A724,2010,7,21.8,31.0
CUIABA,MT,-15.60694408416748,-56.06083297729492,184.0,A901,2010,7,22.150000000000002,23.0
BELEM,PA,-1.4111109972000122,-48.439444,21.17,A201,2010,7,27.0,119.0
ITAITUBA,PA,-4.276944160461426,-55.993056,24.46,A231,2010,7,27.800000000000004,71.0
CABROBO,PE,-8.503889083862305,-39.315278,342.74,A329,2010,7,21.6,22.0
PALMARES,PE,-8.666666984558105,-35.568056,164.01,A357,2010,7,21.85,187.0
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,7,18.25,105.0
MAL. CANDIDO RONDON,PR,-24.53333282470703,-54.019167,392.07,A820,2010,7,15.850000000000001,152.0
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,7,16.1,79.0
PICO DO COUTO,RJ,-22.4647216796875,-43.291389,1777.0,A610,2010,7,13.75,48.0
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,7,21.700000000000003,71.0
PORTO VELHO,RO,-8.793610572814941,-63.84583282470703,86.7,A925,2010,7,25.75,2.0
SANTA MARIA,RS,-29.725000381469727,-53.720556,105.0,A803,2010,7,14.3,226.0
URUGUAIANA,RS,-29.84000015258789,-57.08194351196289,74.29,A809,2010,7,12.9,155.0
RIO NEGRINHO,SC,-26.248611450195312,-49.574167,856.0,A862,2010,7,13.3,100.0
CAMPOS DO JORDAO,SP,-22.75027847290039,-45.603889,1662.95,A706,2010,7,9.9,69.0
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,7,17.0,79.0
PALMAS,TO,-10.147777557373047,-48.314444,267.0,A009,2010,7,24.65,0.0
BARREIRAS,BA,-12.12472152709961,-45.026944,474.17,A402,2010,8,22.3,0.0
FEIRA DE SANTANA,BA,-12.196110725402832,-38.967498779296875,229.64,A413,2010,8,20.85,58.0
MORADA NOVA,CE,-5.091111183166504,-38.364722,93.0,A332,2010,8,27.85,0.0
CAMPOS SALES,CE,-7.077777862548828,-40.36277770996094,577.95,A347,2010,8,24.3,0.0
POSSE,GO,-14.089166641235352,-46.366389,830.0,A017,2010,8,22.65,0.0
GOIANIA,GO,-16.642778396606445,-49.220278,727.3,A002,2010,8,23.450000000000003,0.0
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,8,20.35,0.0
