variavel,ano,mes,encontrado,url
pet,2006,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2006/CHELSA_pet_02_2006_V.2.1.tif
pet,2006,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2006/CHELSA_pet_03_2006_V.2.1.tif
pet,2006,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2006/CHELSA_pet_04_2006_V.2.1.tif
pet,2006,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2006/CHELSA_pet_05_2006_V.2.1.tif
pet,2006,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2006/CHELSA_pet_06_2006_V.2.1.tif
pet,2006,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2006/CHELSA_pet_07_2006_V.2.1.tif
pet,2006,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2006/CHELSA_pet_08_2006_V.2.1.tif
pet,2006,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2006/CHELSA_pet_09_2006_V.2.1.tif
pet,2006,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2006/CHELSA_pet_10_2006_V.2.1.tif
pet,2006,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2006/CHELSA_pet_11_2006_V.2.1.tif
