resposta,cenario,descricao,r2,rmse,delta_r2_vs_A,delta_r2_min,delta_r2_max,delta_rmse_vs_A,delta_rmse_pct_vs_A
log_soc,D,Thornthwaite L2,0.18924032949869382,0.6202084606346557,0.015648068418368338,0.013122875821123259,0.019402828270114192,-0.005958785013636447,-0.9518374986724291
log_soc,E,Clima contínuo,0.19927374632532283,0.6163603475177672,0.02568148524499736,0.01800744018430278,0.03281050050310874,-0.009806898130524933,-1.5656069751903219
log_soc,F1,Zonas k-means (covariável),0.19215401810779675,0.6190923671810623,0.018561757027471277,0.013870526336801414,0.02356937771324663,-0.007074878467229799,-1.1300230807282596
log_soc,F2,Zonas k-means (um RF por zona),0.16927360074057599,0.6277997506761758,-0.0043186603397494805,-0.006006870566059197,-0.0016322680925305866,0.0016325050278836277,0.26054327548528844
log_soc,F3,Zonas supervisionadas (covariável),0.18466904126779513,0.6219551905220525,0.01107678018746964,0.005626353644499149,0.014857585630541736,-0.004212055126239678,-0.6726183229297893
log_soc,F4,Zonas supervisionadas (um RF por zona),0.16345220917560874,0.6299956455301082,-0.010140051904716748,-0.01311527497881293,-0.008424681949508739,0.003828399881816047,0.611251160796078
silte,A,Köppen IPEF (hoje),0.34670793819751405,11.637618435480475,0.0,0.0,0.0,0.0,0.0
silte,B,Sem clima,0.3435668473693565,11.665601018440427,-0.003141090828157648,-0.00971323826259407,0.0033746956920331916,0.027982582959953223,0.2416174702750388
silte,C,Holdridge ETH,0.34241826191743446,11.675795657594051,-0.004289676280079628,-0.00601481434879636,-0.0021918975942482044,0.038177222113577734,0.3283997629145663
silte,D,Thornthwaite L2,0.3516245515767702,11.593732748366877,0.004916613379256122,-0.0018521116886656142,0.010300274704573509,-0.04388568711359753,-0.3764421403656367
silte,E,Clima contínuo,0.37545648332551734,11.378673666109682,0.028748545128003178,0.019403650547065943,0.037454494123592585,-0.25894476937079247,-2.2234645105723523
silte,F1,Zonas k-means (covariável),0.3733989788677672,11.397408219872153,0.026691040670253113,0.020234551569966786,0.031137112683256474,-0.24021021560832287,-2.0634008605453764
silte,F2,Zonas k-means (um RF por zona),0.3534901155951163,11.577088276199673,0.006782177397602229,-0.00019473066194952704,0.013030865061670949,-0.060530159280801854,-0.5189562736579185
silte,F3,Zonas supervisionadas (covariável),0.3606731878458939,11.51257497083641,0.013965249648379826,0.010148748916784411,0.01691425267687241,-0.12504346464406582,-1.0741067534675373
silte,F4,Zonas supervisionadas (um RF por zona),0.34768986398945284,11.62880732256118,0.0009819257919387498,-0.0016700852995450433,0.002935623609451432,-0.008811112919294336,-0.07613270133063343
