classe,n_classe,n_total,r_pb,p,p_holm,variavel_pt,nivel
koppen_l2_Cf,3085,12061,0.0717932423689893,2.9291169794620244e-15,8.787350938386073e-15,argila,koppen_l2
koppen_l2_Af,538,12061,-0.0601011849081226,3.954967032836617e-11,7.909934065673234e-11,argila,koppen_l2
koppen_l2_Am,4260,12061,0.0263256847957208,0.0038358315796278,0.0038358315796278,argila,koppen_l2
koppen_l3_Cfb,784,4353,-0.318454415033236,3.536176014124416e-103,1.7680880070622081e-102,areia,koppen_l3
koppen_l3_Bsh,267,4353,0.2354988947288245,6.325582843631346e-56,2.5302331374525383e-55,areia,koppen_l3
koppen_l3_Cfa,2301,4353,0.1652072906385629,5.195177607777122e-28,1.5585532823331368e-27,areia,koppen_l3
koppen_l3_Cwb,590,4353,-0.0508895893237213,0.0007829073224345,0.001565814644869,areia,koppen_l3
koppen_l3_Cwa,411,4353,0.0027970038125516,0.8536321820359944,0.8536321820359944,areia,koppen_l3
koppen_l3_Cfb,784,4353,0.1886919328536984,3.5579250888840733e-36,1.7789625444420365e-35,silte,koppen_l3
koppen_l3_Cwa,411,4353,-0.1596693513070239,2.99288962988748e-26,1.197155851954992e-25,silte,koppen_l3
koppen_l3_Cwb,590,4353,-0.1401002793092899,1.5927572029686576e-20,4.7782716089059725e-20,silte,koppen_l3
koppen_l3_Bsh,267,4353,-0.1123369345616769,1.0608684095939292e-13,2.1217368191878585e-13,silte,koppen_l3
koppen_l3_Cfa,2301,4353,0.0983411708498438,7.916220735312849e-11,7.916220735312849e-11,silte,koppen_l3
koppen_l3_Cfa,2301,4353,-0.2642575818898095,1.838728482016893e-70,9.193642410084466e-70,argila,koppen_l3
koppen_l3_Cfb,784,4353,0.2575516810683345,6.655981589786028e-67,2.662392635914412e-66,argila,koppen_l3
koppen_l3_Bsh,267,4353,-0.2084670315036038,6.061284265668815e-44,1.8183852797006444e-43,argila,koppen_l3
koppen_l3_Cwb,590,4353,0.1544565921120695,1.1925527289905456e-24,2.3851054579810915e-24,argila,koppen_l3
koppen_l3_Cwa,411,4353,0.1029127426505421,1.0032970485137664e-11,1.0032970485137664e-11,argila,koppen_l3
HLZ_L1_Tropical_Zone,8384,12053,0.2784179207814516,1.8804893469164892e-213,3.7609786938329783e-213,areia,HLZ_L1
HLZ_L1_Subtropical_Zone,3669,12053,-0.2784179207814515,1.8804893469164892e-213,3.7609786938329783e-213,areia,HLZ_L1
HLZ_L1_Tropical_Zone,8384,12053,-0.314751395125326,2.2833251449984348e-275,4.5666502899968696e-275,silte,HLZ_L1
HLZ_L1_Subtropical_Zone,3669,12053,0.314751395125326,2.2833251449984348e-275,4.5666502899968696e-275,silte,HLZ_L1
HLZ_L1_Tropical_Zone,8384,12053,-0.1350703335242936,3.5190934143341104e-50,7.038186828668221e-50,argila,HLZ_L1
HLZ_L1_Subtropical_Zone,3669,12053,0.1350703335242936,3.519093414335215e-50,7.038186828668221e-50,argila,HLZ_L1
HLZ_L2_Subtropical_Moist_forest,3333,12049,-0.2505643430019659,6.960631915659329e-172,5.568505532527463e-171,areia,HLZ_L2
HLZ_L2_Tropical_Dry_forest,5165,12049,0.1579862811009929,3.4593664101957128e-68,2.421556487136999e-67,areia,HLZ_L2
HLZ_L2_Subtropical_Wet_forest,99,12049,-0.1044833699741163,1.3311531752715451e-30,7.986919051629272e-30,areia,HLZ_L2
HLZ_L2_Tropical_Thorn_steppe,502,12049,0.0959631173880795,4.7173670536750013e-26,2.358683526837501e-25,areia,HLZ_L2
HLZ_L2_Tropical_Very_dry_forest,2525,12049,0.0847059067632548,1.2337369223187627e-20,4.9349476892750514e-20,areia,HLZ_L2
HLZ_L2_Tropical_Moist_forest,145,12049,-0.053317625764301,4.7379456911266955e-09,1.4213837073380089e-08,areia,HLZ_L2
HLZ_L2_Subtropical_Dry_forest,233,12049,-0.0489634331812932,7.561842544793597e-08,1.5123685089587195e-07,areia,HLZ_L2
HLZ_L2_Tropical_Desert_bush,47,12049,0.0358918391531843,8.12665432733543e-05,8.12665432733543e-05,areia,HLZ_L2
HLZ_L2_Subtropical_Moist_forest,3333,12049,0.3177639768192571,8.060934970399207e-281,6.448747976319367e-280,silte,HLZ_L2
HLZ_L2_Tropical_Dry_forest,5165,12049,-0.2838799692118185,4.091723246476309e-222,2.8642062725334156e-221,silte,HLZ_L2
HLZ_L2_Tropical_Moist_forest,145,12049,0.1387884450704861,6.858279900284041e-53,4.114967940170424e-52,silte,HLZ_L2
HLZ_L2_Subtropical_Wet_forest,99,12049,0.0634973897977024,3.030667506515154e-12,1.515333753257577e-11,silte,HLZ_L2
HLZ_L2_Tropical_Very_dry_forest,2525,12049,-0.0470918035155164,2.322187441822112e-07,9.288749767288448e-07,silte,HLZ_L2
HLZ_L2_Subtropical_Dry_forest,233,12049,-0.0211496039020121,0.0202562527392317,0.0607687582176952,silte,HLZ_L2
