rep,camada,cenario,fracao,n,r2,rmse
0,010_020cm,sem_clima,argila,9749,0.33338149282831697,16.863835919618726
0,010_020cm,koppen_chelsa,areia,9749,0.36241884826087134,21.561437607798634
0,010_020cm,koppen_chelsa,silte,9749,0.3056408952082188,12.173837044982704
0,010_020cm,koppen_chelsa,argila,9749,0.3266604217142338,16.948636131307854
0,010_020cm,holdridge_etpm,areia,9749,0.3644116780261585,21.527714918053583
0,010_020cm,holdridge_etpm,silte,9749,0.308037832404775,12.152806753474133
0,010_020cm,holdridge_etpm,argila,9749,0.3337942957818171,16.858613652872048
0,010_020cm,holdridge_eth,areia,9749,0.3669446903039577,21.484774855706526
0,010_020cm,holdridge_eth,silte,9749,0.30344075427426553,12.193108754354771
0,010_020cm,holdridge_eth,argila,9749,0.3431013857796117,16.740439569309068
0,010_020cm,th_cad100,areia,9749,0.3587320765785499,21.623686557565634
0,010_020cm,th_cad100,silte,9749,0.31490140507519526,12.092384704019963
0,010_020cm,th_cad100,argila,9749,0.32284091783082103,16.996638536450615
0,010_020cm,th_cadsolo,areia,9749,0.3483784703686059,21.797550454436845
0,010_020cm,th_cadsolo,silte,9749,0.3160986607972478,12.081813957270514
0,010_020cm,th_cadsolo,argila,9749,0.30995384351493327,17.157608552090263
0,010_020cm,clima_continuo,areia,9749,0.3649867326447228,21.517974011185718
0,010_020cm,clima_continuo,silte,9749,0.3449208142787752,11.824487243844663
0,010_020cm,clima_continuo,argila,9749,0.3322228369109811,16.878485153056694
0,010_020cm,zonas_k10,areia,9749,0.3584546315114566,21.628363804141788
0,010_020cm,zonas_k10,silte,9749,0.304830960254872,12.180935059859749
0,010_020cm,zonas_k10,argila,9749,0.35113349396153726,16.637779451476224
0,020_030cm,koppen_ipef,areia,6381,0.3835292897177274,19.69101520955928
0,020_030cm,koppen_ipef,silte,6381,0.34661159861918234,10.480919999605405
0,020_030cm,koppen_ipef,argila,6381,0.29483862946263906,16.84280901653242
0,020_030cm,sem_clima,areia,6381,0.3836663243926305,19.68882653960877
0,020_030cm,sem_clima,silte,6381,0.34262059518927623,10.512880856829495
0,020_030cm,sem_clima,argila,6381,0.29550128243981666,16.83489340935935
0,020_030cm,koppen_chelsa,areia,6381,0.3853119780839329,19.66252370357912
0,020_030cm,koppen_chelsa,silte,6381,0.3682130525388052,10.306210779152751
0,020_030cm,koppen_chelsa,argila,6381,0.29281262082249815,16.86698731306494
0,020_030cm,holdridge_etpm,areia,6381,0.38839348858974054,19.613176393352596
0,020_030cm,holdridge_etpm,silte,6381,0.3440409979893311,10.501517099296862
0,020_030cm,holdridge_etpm,argila,6381,0.2916075760972632,16.88135183895031
0,020_030cm,holdridge_eth,areia,6381,0.38506076822674995,19.666541119763927
0,020_030cm,holdridge_eth,silte,6381,0.3453600258791575,10.490953356487825
0,020_030cm,holdridge_eth,argila,6381,0.29275052674446067,16.867727793642004
0,020_030cm,th_cad100,areia,6381,0.38596644198798113,19.652053482368572
0,020_030cm,th_cad100,silte,6381,0.3478982040513733,10.470595777863794
0,020_030cm,th_cad100,argila,6381,0.29180285373859993,16.879024895808282
0,020_030cm,th_cadsolo,areia,6381,0.39005330463363463,19.58654457925839
0,020_030cm,th_cadsolo,silte,6381,0.3411181423518219,10.524887692496508
0,020_030cm,th_cadsolo,argila,6381,0.2965269847122296,16.822633714853403
0,020_030cm,clima_continuo,areia,6381,0.4007310286526695,19.414346648527168
0,020_030cm,clima_continuo,silte,6381,0.39217196080528827,10.108903732642597
0,020_030cm,clima_continuo,argila,6381,0.29692822501544713,16.81783546298782
0,020_030cm,zonas_k10,areia,6381,0.3897571045524686,19.59129977506402
0,020_030cm,zonas_k10,silte,6381,0.3631147110482077,10.347711322047811
0,020_030cm,zonas_k10,argila,6381,0.28627297939251417,16.944795697575053
1,000_010cm,koppen_ipef,areia,11581,0.2674292425158161,23.13750327014102
1,000_010cm,koppen_ipef,silte,11581,0.28703158547964014,12.603912219204915
1,000_010cm,koppen_ipef,argila,11581,0.26940494971519036,17.24743590749286
1,000_010cm,sem_clima,areia,11581,0.2711298731950551,23.078988948764735
1,000_010cm,sem_clima,silte,11581,0.2951195005005445,12.53221891521242
1,000_010cm,sem_clima,argila,11581,0.253287127152923,17.436647829932703
1,000_010cm,koppen_chelsa,areia,11581,0.2801163688788594,22.936273207667476
1,000_010cm,koppen_chelsa,silte,11581,0.31383416759662375,12.364733743883082
1,000_010cm,koppen_chelsa,argila,11581,0.26014144609920486,17.356435016006866
1,000_010cm,holdridge_etpm,areia,11581,0.2689348297084273,23.113714820192822
1,000_010cm,holdridge_etpm,silte,11581,0.2880569629841505,12.59484560572082
1,000_010cm,holdridge_etpm,argila,11581,0.2525883286811853,17.44480481631959
1,000_010cm,holdridge_eth,areia,11581,0.27770484969661524,22.974657896809422
1,000_010cm,holdridge_eth,silte,11581,0.2918370916513635,12.561364343584755
1,000_010cm,holdridge_eth,argila,11581,0.26346753775924636,17.317377468379455
1,000_010cm,th_cad100,areia,11581,0.27755822126122087,22.976989746324584
1,000_010cm,th_cad100,silte,11581,0.31277381882023314,12.374283817951696
1,000_010cm,th_cad100,argila,11581,0.2666799658374487,17.27957083773143
1,000_010cm,th_cadsolo,areia,11581,0.27021109466503135,23.09353049782371
1,000_010cm,th_cadsolo,silte,11581,0.3046669534871216,12.447056466209299
1,000_010cm,th_cadsolo,argila,11581,0.2611566188116228,17.344523396298435
1,000_010cm,clima_continuo,areia,11581,0.3346270477893162,22.050796185310702
1,000_010cm,clima_continuo,silte,11581,0.343659975909682,12.093017154772024
1,000_010cm,clima_continuo,argila,11581,0.30760921242273376,16.790429957704916
1,000_010cm,zonas_k10,areia,11581,0.2886197931413156,22.800406634785233
1,000_010cm,zonas_k10,silte,11581,0.30991200198575,12.400022172912045
1,000_010cm,zonas_k10,argila,11581,0.2674473967560643,17.2705267999656
1,010_020cm,koppen_ipef,areia,9749,0.3491051534590257,21.785392837471402
1,010_020cm,koppen_ipef,silte,9749,0.297787081023726,12.24249187383621
1,010_020cm,koppen_ipef,argila,9749,0.3285201345742187,16.92521452400857
1,010_020cm,sem_clima,areia,9749,0.34390318095253647,21.872274372343536
1,010_020cm,sem_clima,silte,9749,0.297831192786441,12.242107342048696
1,010_020cm,sem_clima,argila,9749,0.3185500782393701,17.050403364756303
1,010_020cm,koppen_chelsa,areia,9749,0.3285416920086556,22.1268455788075
1,010_020cm,koppen_chelsa,silte,9749,0.29566677686700227,12.260960802982968
1,010_020cm,koppen_chelsa,argila,9749,0.3087012361163851,17.173174179709388
1,010_020cm,holdridge_etpm,areia,9749,0.3308379357362733,22.08897863840144
1,010_020cm,holdridge_etpm,silte,9749,0.29201262964029917,12.292725167981951
1,010_020cm,holdridge_etpm,argila,9749,0.3092875823381679,17.165889657877845
1,010_020cm,holdridge_eth,areia,9749,0.33519015819937104,22.017028223335455
1,010_020cm,holdridge_eth,silte,9749,0.2995111732319319,12.22745358848126
1,010_020cm,holdridge_eth,argila,9749,0.3190265687444287,17.04444124212113
1,010_020cm,th_cad100,areia,9749,0.3369159443641546,21.988432547284773
1,010_020cm,th_cad100,silte,9749,0.31565542512336975,12.085728428019493
1,010_020cm,th_cad100,argila,9749,0.30825236751357465,17.178748649246565
1,010_020cm,th_cadsolo,areia,9749,0.3407996232381312,21.92394493163259
1,010_020cm,th_cadsolo,silte,9749,0.3178789726524561,12.066078198475006
1,010_020cm,th_cadsolo,argila,9749,0.3122436960629559,17.12911694962068
