variavel,cenario,camada,n,me,mae,rmse,mec,slope,fator_smearing
argila,th_cad100,000_010cm,11581,-0.5684911334202097,5.312679187826222,8.993145650773933,0.801367229343468,0.9714035790205081,
areia,th_cad100,010_020cm,9749,0.4651319389658768,6.352831538398043,11.164639252531861,0.829049871501915,0.9680846740601472,
silte,th_cad100,010_020cm,9749,-0.07542927040329826,3.7273833677854595,6.044308378048117,0.8288320718913669,1.0113696457963002,
argila,th_cad100,010_020cm,9749,-0.3897026685625784,5.195646203758979,8.927582695287906,0.8131761170820886,0.9710842416609012,
areia,th_cad100,020_030cm,6381,-0.14496201552811921,4.675760769892488,7.932423687730603,0.8999566933945622,0.9917378341611238,
silte,th_cad100,020_030cm,6381,-0.01193297752015896,2.724033154497666,4.55751660041161,0.8764538753471094,1.0089878543709503,
argila,th_cad100,020_030cm,6381,0.15689499304827823,4.700415401714206,7.68178688825794,0.8533155846820132,1.0018706037072567,
areia,th_cadsolo,000_010cm,11581,0.6515121244829245,6.528569619884036,11.367871990830803,0.8231622659171045,0.9690941360422488,
silte,th_cadsolo,000_010cm,11581,-0.0931261127108883,3.8310819743758646,6.336113904129646,0.8198204480381234,1.0022268015581233,
argila,th_cadsolo,000_010cm,11581,-0.558386011772036,5.311417732339229,8.976728642476507,0.8020917765773918,0.9723528007347374,
areia,th_cadsolo,010_020cm,9749,0.46988884398226394,6.377198220647601,11.211167019610283,0.8276220597708531,0.9674299497501966,
silte,th_cadsolo,010_020cm,9749,-0.07246056248335213,3.736062186207945,6.062099628293309,0.8278229330067611,1.010689716085629,
argila,th_cadsolo,010_020cm,9749,-0.3974282814989118,5.210530617123891,8.952502898865687,0.8121316715172231,0.9704064702095544,
areia,th_cadsolo,020_030cm,6381,-0.14259298694454658,4.676336346494441,7.939804795672372,0.8997704264909824,0.9913414374446303,
silte,th_cadsolo,020_030cm,6381,0.006614495071438531,2.7253021737324734,4.563051115580868,0.8761536315367738,1.006669487733728,
argila,th_cadsolo,020_030cm,6381,0.1359784918731081,4.6964350034920335,7.67614077707146,0.8535311314468867,1.0030941806280005,
areia,zonas_k10,000_010cm,11581,0.7063634321734985,6.540883263341891,11.39658267071569,0.8222678957171686,0.9689545935229252,
silte,zonas_k10,000_010cm,11581,-0.14211959223553783,3.8308708545138823,6.338522120038729,0.8196834575325546,1.00449993789531,
argila,zonas_k10,000_010cm,11581,-0.5642438399379608,5.31821451021966,8.990259013494187,0.8014947239400387,0.9708761819214722,
areia,zonas_k10,010_020cm,9749,0.45418675471400843,6.345708300536921,11.194282492758212,0.8281408868060358,0.9665256846740914,
silte,zonas_k10,010_020cm,9749,-0.05020868582892107,3.715986311334604,6.030760545774904,0.8295985303050006,1.0108137615937862,
argila,zonas_k10,010_020cm,9749,-0.4039780688850875,5.201948211856538,8.969887718003383,0.8114013220007068,0.9697064722851271,
areia,zonas_k10,020_030cm,6381,-0.10790756426794472,4.678810583368604,7.941795359503253,0.8997201637002376,0.9917596641718962,
silte,zonas_k10,020_030cm,6381,-0.00021898477296671332,2.7188408030152833,4.557978312221286,0.8764288417161968,1.0072626124444282,
argila,zonas_k10,020_030cm,6381,0.10812654904091137,4.698824822529769,7.677177568806061,0.8534915626134925,1.0035235798677478,
areia,clima_continuo,000_030cm,27711,0.3742054152622965,5.941776025043741,10.492306898786305,0.8444672396398167,0.9755631963057189,
silte,clima_continuo,000_030cm,27711,-0.014883014585986183,3.5239348073469943,5.844730282130993,0.8356793619345648,1.0082151866696465,
argila,clima_continuo,000_030cm,27711,-0.35932240067631005,5.072680273779239,8.594277252715928,0.822340877090628,0.9791242431127601,
areia,holdridge_eth,000_030cm,27711,0.4653878905250801,6.06183877295751,10.625942009655269,0.840480128036873,0.9719810645882669,
silte,holdridge_eth,000_030cm,27711,-0.10400784794978625,3.5388417400067973,5.855798296327158,0.8350564332167413,1.00693106418029,
argila,holdridge_eth,000_030cm,27711,-0.3613800425752938,5.1457328976989585,8.707487817716007,0.8176295184805452,0.9769266970230638,
areia,holdridge_etpm,000_030cm,27711,0.5594406664739451,6.145176662508691,10.68109986536591,0.8388197367591179,0.96778956596341,
silte,holdridge_etpm,000_030cm,27711,-0.18067216700060515,3.5886430139975363,5.904472306725072,0.8323029805879657,1.0049141962597534,
argila,holdridge_etpm,000_030cm,27711,-0.37876849947333996,5.171380220905772,8.710001424311058,0.8175242128357074,0.974796685873028,
areia,koppen_chelsa,000_030cm,27711,0.410602579565773,6.046802245090461,10.604103394533507,0.8411351500975123,0.9727134447012902,
silte,koppen_chelsa,000_030cm,27711,-0.06560337583543953,3.5424423591778127,5.864604810783494,0.834559944063531,1.0069492073328896,
argila,koppen_chelsa,000_030cm,27711,-0.34499920373033355,5.133613014635835,8.685736844093748,0.8185394895855633,0.9770068257401414,
areia,koppen_ipef,000_030cm,27711,0.426709139857053,6.0497682518435605,10.620781097561839,0.840635044769742,0.9724617433860413,
silte,koppen_ipef,000_030cm,27711,-0.0727222070026718,3.536648195296836,5.859026621815312,0.8348745149619882,1.0075705649285824,
argila,koppen_ipef,000_030cm,27711,-0.3539869328543814,5.140255574211369,8.703283146133604,0.8178056020672351,0.9762747138336711,
areia,sem_clima,000_030cm,27711,0.4330403074232636,6.056774539031892,10.631686158968828,0.840307615589586,0.9719576241887217,
silte,sem_clima,000_030cm,27711,-0.07367216809229075,3.5382924379339635,5.861753765605462,0.8347207604995385,1.0067894426868607,
argila,sem_clima,000_030cm,27711,-0.3593681393309728,5.144765007329665,8.710875246236714,0.8174875976081424,0.976367425828727,
areia,th_cad100,000_030cm,27711,0.4203589210401989,6.037222503300214,10.600873170105638,0.8412319222505076,0.9725617945388112,
silte,th_cad100,000_030cm,27711,-0.08180166286420516,3.5370042351915836,5.861906816407071,0.8347121294818096,1.0075805500435728,
argila,th_cad100,000_030cm,27711,-0.33855725817599375,5.130520125329296,8.684932460440082,0.8185730980432329,0.9767682465580042,
areia,th_cadsolo,000_030cm,27711,0.40475704247146194,6.048802729888908,10.618033637019892,0.8407174854658223,0.9726618721368121,
silte,th_cadsolo,000_030cm,27711,-0.06288854396824904,3.543025649351343,5.873772489480898,0.834042300745419,1.0062619550549377,
argila,th_cadsolo,000_030cm,27711,-0.3418684985032131,5.134312854167807,8.685709579493297,0.818540628795889,0.9772326059811864,
