rep,camada,cenario,fracao,n,r2,rmse
1,000_010cm,holdridge_etpm,silte,11581,0.80923232584981,6.519625008980126
1,000_010cm,holdridge_etpm,argila,11581,0.8048340859203309,8.914318808154098
1,000_010cm,holdridge_eth,areia,11581,0.8213527779640014,11.425884706430688
1,000_010cm,holdridge_eth,silte,11581,0.8087573620293573,6.527736081729711
1,000_010cm,holdridge_eth,argila,11581,0.8037271047339485,8.939564071903783
1,000_010cm,th_cad100,areia,11581,0.8217871791013116,11.411984579107765
1,000_010cm,th_cad100,silte,11581,0.810317222722216,6.5010600038508635
1,000_010cm,th_cad100,argila,11581,0.804634569918014,8.918874150065731
1,000_010cm,th_cadsolo,areia,11581,0.8208834701194272,11.440882813332559
1,000_010cm,th_cadsolo,silte,11581,0.8089923480731986,6.523724428315159
1,000_010cm,th_cadsolo,argila,11581,0.8041251821029726,8.930493934211777
1,000_010cm,clima_continuo,areia,11581,0.8285856812106982,11.192194592170253
1,000_010cm,clima_continuo,silte,11581,0.812205701248833,6.468616829136526
1,000_010cm,clima_continuo,argila,11581,0.8101869226729334,8.791221896095058
1,000_010cm,zonas_k10,areia,11581,0.8206771658257108,11.44746965375056
1,000_010cm,zonas_k10,silte,11581,0.8086443741345908,6.52966412000319
1,000_010cm,zonas_k10,argila,11581,0.8045573074073085,8.920637579994029
1,010_020cm,koppen_ipef,areia,9749,0.8298370292894464,11.138905218668596
1,010_020cm,koppen_ipef,silte,9749,0.825595464666644,6.1011865481881165
1,010_020cm,koppen_ipef,argila,9749,0.81439186958459,8.898487254897633
1,010_020cm,sem_clima,areia,9749,0.8298960028023784,11.13697484188421
1,010_020cm,sem_clima,silte,9749,0.8251213132071274,6.109474529219086
1,010_020cm,sem_clima,argila,9749,0.8141902326569355,8.903319415504132
1,010_020cm,koppen_chelsa,areia,9749,0.830022863582659,11.132821180420649
1,010_020cm,koppen_chelsa,silte,9749,0.8246244832687868,6.118146875451208
1,010_020cm,koppen_chelsa,argila,9749,0.8147272212422972,8.890444849718625
1,010_020cm,holdridge_etpm,areia,9749,0.8312363816846082,11.093009710619814
1,010_020cm,holdridge_etpm,silte,9749,0.8254936325615035,6.102967482393647
1,010_020cm,holdridge_etpm,argila,9749,0.8154235281011771,8.873722735680614
1,010_020cm,holdridge_eth,areia,9749,0.8296825065565616,11.14396161693479
1,010_020cm,holdridge_eth,silte,9749,0.8259753352747541,6.094538427366604
1,010_020cm,holdridge_eth,argila,9749,0.8137035039582134,8.914972911831631
1,010_020cm,th_cad100,areia,9749,0.8316734918386156,11.078634541864396
1,010_020cm,th_cad100,silte,9749,0.8246052703427456,6.118481997155685
1,010_020cm,th_cad100,argila,9749,0.8163732768030543,8.850863169712888
1,010_020cm,th_cadsolo,areia,9749,0.8305946032021484,11.114082082520659
1,010_020cm,th_cadsolo,silte,9749,0.8247486664631787,6.115980365601958
1,010_020cm,th_cadsolo,argila,9749,0.8153975004332072,8.874348368419854
1,010_020cm,clima_continuo,areia,9749,0.8298309481590869,11.139104252950977
1,010_020cm,clima_continuo,silte,9749,0.8255029675973435,6.102804244275342
1,010_020cm,clima_continuo,argila,9749,0.8161673326323713,8.855825064283943
1,010_020cm,zonas_k10,areia,9749,0.8282193228139826,11.191727681959252
1,010_020cm,zonas_k10,silte,9749,0.8224166291193656,6.156538002575812
1,010_020cm,zonas_k10,argila,9749,0.8141542914650283,8.904180458611798
1,020_030cm,koppen_ipef,areia,6381,0.9013322606332503,7.877700636224173
1,020_030cm,koppen_ipef,silte,6381,0.8682701272005477,4.7060423582064415
