variavel,cenario,camada,n,me,mae,rmse,mec,slope,fator_smearing
argila,th_cadsolo,020_030cm,6381,-0.01899347103661296,13.183752662861359,16.822633714853403,0.2965269847122296,0.9321322947143654,
areia,zonas_k10,000_010cm,11581,0.5945811514395482,17.327141560937054,21.98788826437494,0.3384180694131902,0.8774922853732958,
silte,zonas_k10,000_010cm,11581,0.0648222902648722,9.167202699284667,12.369846517958313,0.31326659594189077,0.859723741209723,
argila,zonas_k10,000_010cm,11581,-0.6594034417044201,13.067411021888017,16.869262641621326,0.30109226669637656,0.8919520037558255,
areia,zonas_k10,010_020cm,9749,0.07106623646210325,17.150607863958896,21.628363804141788,0.3584546315114565,0.8718021883563482,
silte,zonas_k10,010_020cm,9749,0.022200570795232417,9.094797592727218,12.180935059859749,0.304830960254872,0.8317684093146822,
argila,zonas_k10,010_020cm,9749,-0.09326680725733576,13.093654236941592,16.637779451476224,0.35113349396153726,0.9411252761691619,
areia,zonas_k10,020_030cm,6381,-0.9263561198123808,15.545409850557927,19.59129977506402,0.3897571045524686,0.9455697752388365,
silte,zonas_k10,020_030cm,6381,0.40142658391482106,7.55908770297982,10.347711322047811,0.3631147110482076,0.9113904658469312,
argila,zonas_k10,020_030cm,6381,0.5249295358975595,13.381131553933542,16.944795697575053,0.28627297939251406,0.892070123661166,
areia,clima_continuo,000_030cm,27711,-0.14802353144131977,16.684862604205268,21.07546203904393,0.37247054084392206,0.8953393551867466,
silte,clima_continuo,000_030cm,27711,0.262981529647283,8.430181279468387,11.44254154580135,0.37019201930379153,0.878427561876691,
argila,clima_continuo,000_030cm,27711,-0.11495799820596322,13.238144860074785,16.832931633511038,0.318464766100499,0.9090533396568363,
areia,holdridge_eth,000_030cm,27711,0.15176847447300007,16.886294692095483,21.372765570261244,0.35464102548341847,0.8988035448701656,
silte,holdridge_eth,000_030cm,27711,0.21253835629234225,8.875704332928919,11.98108765258885,0.30951276447699205,0.8488703872437374,
argila,holdridge_eth,000_030cm,27711,-0.36430683076534254,13.155381058344638,16.906779633584787,0.31247170240000877,0.9029515329671615,
areia,holdridge_etpm,000_030cm,27711,0.18615814443911755,16.875954472998146,21.355089110232598,0.3557080792248457,0.9020481269385645,
silte,holdridge_etpm,000_030cm,27711,0.20038986008882226,8.843862485826097,11.949839475754601,0.31310982190584913,0.8572848784324945,
argila,holdridge_etpm,000_030cm,27711,-0.38654800452793975,13.201769764712887,16.95311279064604,0.30869818583321595,0.8995337852096712,
areia,koppen_chelsa,000_030cm,27711,0.34173198423781587,16.846596829742417,21.4093853765926,0.35242763229890717,0.8874002309827953,
silte,koppen_chelsa,000_030cm,27711,0.10317633942941445,8.738739376237243,11.853060462420425,0.32419070121753224,0.8646408177587915,
argila,koppen_chelsa,000_030cm,27711,-0.4449083236672302,13.183640007007973,16.957513352771308,0.30833925335361145,0.8930422813354464,
areia,koppen_ipef,000_030cm,27711,0.3953929081107691,16.96196926638925,21.505651885484383,0.3465909692007938,0.8871386799102347,
silte,koppen_ipef,000_030cm,27711,0.1986008568518482,8.852782025717708,11.993357966924522,0.3080977286835299,0.8466532806914706,
argila,koppen_ipef,000_030cm,27711,-0.5939937649626172,13.197866161855796,17.024695990222817,0.3028479244821187,0.8866301809287539,
areia,sem_clima,000_030cm,27711,0.333445409215616,16.886901397650085,21.41090092270914,0.3523359472265154,0.893460424913942,
silte,sem_clima,000_030cm,27711,0.18891506907383676,8.837271290918114,11.952745043184388,0.3127757507460761,0.8527963052560279,
argila,sem_clima,000_030cm,27711,-0.5223604782894529,13.182487561076394,16.973519001075836,0.3070329647534136,0.8962611320753441,
areia,th_cad100,000_030cm,27711,0.2701030920183127,16.94427378527246,21.525751446634267,0.3453690232568434,0.8859178103995368,
silte,th_cad100,000_030cm,27711,0.24654742724893616,8.76087195178943,11.868041511623328,0.3224813147774128,0.8582743970480018,
argila,th_cad100,000_030cm,27711,-0.5166505192672493,13.287329513429789,17.079279232357766,0.29837044993033934,0.892927632714338,
areia,th_cadsolo,000_030cm,27711,0.4209807299971015,16.983195102727432,21.597542361051662,0.340995199089415,0.8803526789674213,
silte,th_cadsolo,000_030cm,27711,0.17705262813535003,8.755284205013288,11.853810048538042,0.32410522231728134,0.8672539356688178,
argila,th_cadsolo,000_030cm,27711,-0.5980333581324515,13.322918429421147,17.143631885602826,0.2930731788176988,0.8832789963516825,
